date,country,Zuzuege D,Fortzuege D,Wanderungssaldo D,Zuzuege A,Fortzuege A,Wanderungssaldo A,Zuzuege I,Fortzuege I,Wanderungssaldo I
2002-01-01,ZAF,1033.0,960.0,73.0,1312.0,862.0,450.0,2345.0,1822.0,523.0
2002-01-01,RWA,19.0,22.0,-3.0,74.0,57.0,17.0,93.0,79.0,14.0
2002-01-01,NAM,295.0,262.0,33.0,140.0,97.0,43.0,435.0,359.0,76.0
2002-01-01,SEN,50.0,38.0,12.0,252.0,182.0,70.0,302.0,220.0,82.0
2002-01-01,SOM,1.0,13.0,-12.0,369.0,507.0,-138.0,370.0,520.0,-150.0
2002-01-01,TZA,130.0,113.0,17.0,203.0,116.0,87.0,333.0,229.0,104.0
2002-01-01,TUN,245.0,209.0,36.0,2440.0,1235.0,1205.0,2685.0,1444.0,1241.0
2002-01-01,UGA,44.0,48.0,-4.0,296.0,122.0,174.0,340.0,170.0,170.0
2002-01-01,EGY,54.0,53.0,1.0,2157.0,1591.0,566.0,2211.0,1644.0,567.0
2002-01-01,CAF,11.0,18.0,-7.0,26.0,30.0,-4.0,37.0,48.0,-11.0
2002-01-01,XXX,684.0,501.0,183.0,7101.0,4831.0,2270.0,7785.0,5332.0,2453.0
2002-01-01,ARG,887.0,264.0,623.0,1831.0,727.0,1104.0,2718.0,991.0,1727.0
2002-01-01,BOL,218.0,148.0,70.0,335.0,143.0,192.0,553.0,291.0,262.0
2002-01-01,BRA,1237.0,1069.0,168.0,4835.0,3087.0,1748.0,6072.0,4156.0,1916.0
2002-01-01,CHL,416.0,279.0,137.0,752.0,470.0,282.0,1168.0,749.0,419.0
2002-01-01,Costa Rica,119.0,100.0,19.0,160.0,100.0,60.0,279.0,200.0,79.0
2002-01-01,HND,30.0,22.0,8.0,100.0,46.0,54.0,130.0,68.0,62.0
2002-01-01,CAN,1104.0,2023.0,-919.0,2729.0,2286.0,443.0,3833.0,4309.0,-476.0
